T,,PPG,ECG,,
1714,11890944,1340,8170,8188,8179
1715,11891104,1652.5,8175,8186,8180
1716,11891264,1974,8180,8195,8198
1717,11891424,2225.5,8180,8197,8204
1718,11891584,2370,8203,8202,8220
1719,11891744,2425,8184,8190,8184
1720,11891904,2423,8175,8180,8166
1721,11892064,2383.5,8171,8179,8162
1722,11892224,2319,8174,8179,8164
1723,11892384,2224,8183,8205,8192
1724,11892544,2125,8507,8165,8314
1725,11892704,2049.5,8177,8061,8100
1726,11892864,2015,8161,8159,8150
1727,11893024,2019,8165,8189,8168
1728,11893184,2046,8169,8193,8175
1729,11893344,2067,8175,8194,8178
1730,11893504,2064,8183,8196,8185
1731,11893664,2025.5,8193,8197,8191
1732,11893824,1964,8203,8201,8198
1733,11893984,1890.5,8220,8203,8205
1734,11894144,1816,8242,8206,8218
1735,11894304,1747.5,8263,8207,8227
1736,11894464,1680,8275,8207,8231
1737,11894624,1606.5,8270,8210,8237
1738,11894784,1528,8234,8211,8226
1739,11894944,1459,8195,8205,8208
1740,11895104,1407,8169,8196,8188
1741,11895264,1370.5,8159,8191,8178
1742,11895424,1335,8159,8193,8182
1743,11895584,1291,8163,8192,8182
1744,11895744,1234,8167,8192,8183
1745,11895904,1178.5,8168,8189,8180
1746,11896064,1128,8169,8188,8180
1747,11896224,1090.5,8167,8187,8178
1748,11896384,1079,8167,8187,8178
1749,11896544,1139,8167,8187,8178
1750,11896704,1312,8165,8185,8174
1751,11896864,1591.5,8167,8185,8174
1752,11897024,1917,8174,8191,8190
1753,11897184,2189.5,8177,8198,8203
1754,11897344,2373,8179,8196,8204
1755,11897504,2450.5,8194,8198,8208
1756,11897664,2471,8172,8184,8172
1757,11897824,2461,8166,8180,8164
1758,11897984,2428,8168,8178,8163
1759,11898144,2365,8171,8180,8165
1760,11898304,2277,8227,8225,8231
1761,11898464,2189.5,8448,8134,8276
1762,11898624,2128,8156,8064,8077
1763,11898784,2111.5,8161,8175,8158
1764,11898944,2127,8163,8190,8170
1765,11899104,2145,8168,8192,8173
1766,11899264,2138,8174,8194,8179
1767,11899424,2095.5,8183,8196,8185
1768,11899584,2031,8193,8200,8192
1769,11899744,1961,8204,8202,8199
1770,11899904,1892,8221,8206,8210
1771,11900064,1831,8241,8208,8218
1772,11900224,1782,8263,8212,8232
1773,11900384,1743,8272,8214,8240
1774,11900544,1711,8261,8216,8241
1775,11900704,1685.5,8220,8209,8219
1776,11900864,1665,8181,8201,8197
1777,11901024,1648,8166,8195,8187
1778,11901184,1633,8159,8193,8180
1779,11901344,1619,8159,8194,8181
1780,11901504,1603,8163,8193,8183
1781,11901664,1584,8167,8193,8184
1782,11901824,1562,8168,8191,8182
1783,11901984,1542.5,8167,8190,8179
1784,11902144,1529,8166,8189,8177
1785,11902304,1545.5,8163,8186,8172
1786,11902464,1705,8164,8186,8173
1787,11902624,2010,8162,8184,8169
1788,11902784,2320,8166,8185,8173
1789,11902944,2584,8167,8185,8172
1790,11903104,2758,8172,8193,8189
1791,11903264,2822,8174,8195,8194
1792,11903424,2815,8194,8202,8214
1793,11903584,2745,8188,8193,8190
1794,11903744,2651,8169,8182,8164
1795,11903904,2542.5,8168,8179,8160
1796,11904064,2435,8168,8179,8160
1797,11904224,2352,8155,8190,8161
1798,11904384,2306,8431,8222,8328
1799,11904544,2292,8252,8070,8153
1800,11904704,2290,8157,8136,8136
1801,11904864,2274,8160,8186,8162
1802,11905024,2238,8163,8193,8171
1803,11905184,2179.5,8170,8198,8179
1804,11905344,2114,8177,8200,8185
1805,11905504,2048,8186,8200,8189
1806,11905664,1988,8196,8202,8196
1807,11905824,1934,8206,8203,8198
1808,11905984,1887,8228,8208,8213
1809,11906144,1843,8251,8212,8226
1810,11906304,1810,8268,8214,8236
1811,11906464,1789.5,8266,8215,8239
1812,11906624,1774,8243,8216,8235
1813,11906784,1761,8201,8210,8215
1814,11906944,1751,8170,8200,8191
1815,11907104,1732.5,8156,8192,8177
1816,11907264,1707,8155,8191,8176
1817,11907424,1675,8155,8192,8177
1818,11907584,1640,8160,8191,8179
1819,11907744,1612,8163,8191,8179
1820,11907904,1588,8162,8188,8175
1821,11908064,1574.5,8164,8187,8174
1822,11908224,1618,8162,8187,8174
1823,11908384,1759.5,8160,8188,8172
1824,11908544,1998,8164,8188,8173
1825,11908704,2269.5,8163,8186,8172
1826,11908864,2499,8164,8186,8171
1827,11909024,2623,8167,8190,8181
1828,11909184,2653,8174,8197,8198
1829,11909344,2611.5,8172,8195,8193
1830,11909504,2532,8195,8200,8207
1831,11909664,2416.5,8174,8186,8173
1832,11909824,2250,8162,8182,8161
1833,11909984,2041.5,8160,8180,8158
1834,11910144,1823,8165,8181,8160
1835,11910304,1637,8187,8214,8200
1836,11910464,1499,8487,8148,8294
1837,11910624,1401.5,8162,8060,8083
1838,11910784,1314,8155,8171,8152
1839,11910944,1223,8156,8192,8165
1840,11911104,1124,8160,8195,8173
1841,11911264,1024.5,8168,8196,8177
1842,11911424,936,8173,8199,8182
1843,11911584,869.5,8187,8203,8191
1844,11911744,833,8194,8204,8197
1845,11911904,823.5,8209,8206,8203
1846,11912064,830,8228,8208,8211
